Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.30     0.00      276     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  0.00      5.30     0.00      276     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      5.30     0.00      276     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      5.30     0.00      249     0.00     0.00  std::vector<short, std::allocator<short> >::size() const
  0.00      5.30     0.00      248     0.00     0.00  __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >::base() const
  0.00      5.30     0.00      248     0.00     0.00  std::move_iterator<short*>::base() const
  0.00      5.30     0.00      248     0.00     0.00  std::move_iterator<short*>::move_iterator(short*)
  0.00      5.30     0.00      248     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<short*>(std::move_iterator<short*>)
  0.00      5.30     0.00      248     0.00     0.00  short* std::__miter_base<short*>(short*)
  0.00      5.30     0.00      248     0.00     0.00  std::move_iterator<short*> std::__make_move_if_noexcept_iterator<short, std::move_iterator<short*> >(short*)
  0.00      5.30     0.00      200     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      5.30     0.00      189     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_M_get_Tp_allocator()
  0.00      5.30     0.00      186     0.00     0.00  __gnu_cxx::new_allocator<short>::max_size() const
  0.00      5.30     0.00      144     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      5.30     0.00      144     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      5.30     0.00      144     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      5.30     0.00      144     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      5.30     0.00      138     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      5.30     0.00      138     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      5.30     0.00      138     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      5.30     0.00      138     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00      5.30     0.00      138     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      5.30     0.00      138     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      5.30     0.00      138     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      5.30     0.00      138     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      5.30     0.00      138     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      5.30     0.00      124     0.00     0.00  __gnu_cxx::__normal_iterator<short*, std::vector<short, std::allocator<short> > >::__normal_iterator(short* const&)
  0.00      5.30     0.00      124     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_M_get_Tp_allocator() const
  0.00      5.30     0.00      124     0.00     0.00  std::vector<short, std::allocator<short> >::max_size() const
  0.00      5.30     0.00      124     0.00     0.00  short* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<short>(short const*, short const*, short*)
  0.00      5.30     0.00      124     0.00     0.00  std::allocator_traits<std::allocator<short> >::max_size(std::allocator<short> const&)
  0.00      5.30     0.00      124     0.00     0.00  short* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<short*>, short*>(std::move_iterator<short*>, std::move_iterator<short*>, short*)
  0.00      5.30     0.00      124     0.00     0.00  short* std::__copy_move_a<true, short*, short*>(short*, short*, short*)
  0.00      5.30     0.00      124     0.00     0.00  short* std::__copy_move_a2<true, short*, short*>(short*, short*, short*)
  0.00      5.30     0.00      124     0.00     0.00  short* std::uninitialized_copy<std::move_iterator<short*>, short*>(std::move_iterator<short*>, std::move_iterator<short*>, short*)
  0.00      5.30     0.00      124     0.00     0.00  short* std::__uninitialized_copy_a<std::move_iterator<short*>, short*, short>(std::move_iterator<short*>, std::move_iterator<short*>, short*, std::allocator<short>&)
  0.00      5.30     0.00      124     0.00     0.00  short* std::__uninitialized_move_if_noexcept_a<short*, short*, std::allocator<short> >(short*, short*, short*, std::allocator<short>&)
  0.00      5.30     0.00      124     0.00     0.00  short* std::copy<std::move_iterator<short*>, short*>(std::move_iterator<short*>, std::move_iterator<short*>, short*)
  0.00      5.30     0.00      114     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  0.00      5.30     0.00       65     0.00     0.00  void std::_Destroy_aux<true>::__destroy<short*>(short*, short*)
