Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    764.20     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00    764.20     0.00       16     0.00     0.00  unsigned char* std::__niter_base<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00    764.20     0.00        8     0.00     0.00  char* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<unsigned char*, char*>(unsigned char*, unsigned char*, char*)
  0.00    764.20     0.00        8     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::end()
  0.00    764.20     0.00        8     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::begin()
  0.00    764.20     0.00        8     0.00     0.00  char* std::__niter_base<char*>(char*)
  0.00    764.20     0.00        8     0.00     0.00  char* std::__copy_move_a<false, unsigned char*, char*>(unsigned char*, unsigned char*, char*)
  0.00    764.20     0.00        8     0.00     0.00  char* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, char*)
  0.00    764.20     0.00        8     0.00     0.00  char* std::copy<__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, char*>(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, char*)
  0.00    764.20     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00    764.20     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::~new_allocator()
  0.00    764.20     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<short>::~new_allocator()
  0.00    764.20     0.00        4     0.00     0.00  std::allocator<double>::~allocator()
  0.00    764.20     0.00        4     0.00     0.00  std::allocator<unsigned char>::~allocator()
  0.00    764.20     0.00        4     0.00     0.00  std::allocator<short>::~allocator()
  0.00    764.20     0.00        4     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00    764.20     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00    764.20     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<short>::new_allocator()
  0.00    764.20     0.00        3     0.00     0.00  std::allocator<double>::allocator()
  0.00    764.20     0.00        3     0.00     0.00  std::allocator<short>::allocator()
  0.00    764.20     0.00        3     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00    764.20     0.00        3     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00    764.20     0.00        3     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_impl::~_Vector_impl()
  0.00    764.20     0.00        3     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::~_Vector_base()
  0.00    764.20     0.00        3     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00    764.20     0.00        3     0.00     0.00  std::vector<short, std::allocator<short> >::~vector()
  0.00    764.20     0.00        3     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00    764.20     0.00        2     0.00    12.95  normalize(std::vector<short, std::allocator<short> >&, std::vector<double, std::allocator<double> >&, int)
  0.00    764.20     0.00        2     0.00     0.00  parseFile(char*, WAV*, std::vector<short, std::allocator<short> >&, int&)
  0.00    764.20     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::deallocate(unsigned char*, unsigned long)
  0.00    764.20     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::allocate(unsigned long, void const*)
